,x,y,stru_type,size
1596,44.46737,31.898258,FCC,0.855
1597,-56.559273,26.515575,HCP,0.54
1598,-25.801075,90.06859,HCP,0.09
1599,-60.715897,42.009933,HCP,0.4
1600,-19.661198,86.14337,Decahedron,0.115
1601,-27.572462,76.17759,HCP,0.16
1602,-11.751956,13.869172,HCP,0.72
1603,63.608196,14.492698,SC,0.925
1604,-53.71975,56.256485,HCP,0.32
1605,-34.43668,80.573814,HCP,0.15
1606,-30.898176,96.65464,HCP,0.08
1607,-27.40321,61.550224,HCP,0.24
1608,-35.29725,23.540966,HCP,0.56
1609,32.814915,7.4617834,HCP,1.0
1610,1.5979185,78.69839,BCC,0.165
1611,9.541312,71.01533,BCC,0.255
1612,-49.747116,32.260044,HCP,0.48
1613,8.047695,40.30296,FCC,0.465
1614,-35.794197,70.18616,HCP,0.2
1615,-35.535442,46.5251,HCP,0.36
1616,-27.590504,23.938854,HCP,0.54
1617,12.060285,64.64041,BCC,0.295
1618,21.168865,41.068283,SC,0.625
1619,11.560727,3.6747894,HCP,0.96
1620,-15.166478,111.326035,SC,0.035
1621,-15.809831,51.95803,Decahedron,0.27
1622,21.105188,22.762232,Decahedron,0.73
1623,-33.085712,43.945816,HCP,0.36
1624,1.828722,9.246374,HCP,0.84
1625,-39.97258,64.789154,HCP,0.24
1626,25.617525,36.017075,FCC,0.675
1627,7.0417585,69.81104,BCC,0.255
1628,10.642206,8.8742075,HCP,0.8
1629,23.475748,5.9795756,HCP,0.96
1630,-16.331848,81.167046,Decahedron,0.125
1631,-8.428842,36.9666,Decahedron,0.425
1632,-5.4554105,13.758411,HCP,0.72
1633,34.926556,20.274826,Decahedron,0.88
1634,-5.5673785,32.03434,Decahedron,0.5
1635,-12.35148,78.274796,Decahedron,0.145
1636,-64.822495,75.264915,HCP,0.2
1637,-61.785446,76.81652,HCP,0.2
1638,-7.4383025,21.162455,HCP,0.64
1639,-27.878216,37.60739,HCP,0.4
1640,-9.644268,31.11297,Decahedron,0.505
1641,15.33677,47.52802,BCC,0.475
1642,-2.3007436,84.59152,SC,0.135
1643,-61.393414,48.91666,HCP,0.36
1644,-16.273756,81.61681,Decahedron,0.125
1645,-34.207508,23.579103,HCP,0.56
1646,37.42436,50.065414,BCC,0.745
1647,-22.252893,50.286854,Decahedron,0.31
1648,-19.644886,85.4968,Decahedron,0.115
1649,-70.88039,48.076538,HCP,0.4
1650,-21.633614,54.399624,HCP,0.27
1651,0.41635978,20.212416,Decahedron,0.635
1652,-37.140125,44.667927,HCP,0.36
1653,34.559772,39.01619,BCC,0.715
1654,-16.825169,93.72131,Decahedron,0.09
1655,11.986878,64.49656,BCC,0.295
1656,-34.836494,104.713196,HCP,0.05
1657,-16.179533,88.89682,Decahedron,0.095
1658,-12.569249,78.316216,Decahedron,0.145
1659,-35.73081,69.77987,HCP,0.2
1660,-16.351324,81.58536,Decahedron,0.125
1661,63.237926,19.89726,SC,0.925
1662,9.640072,10.658691,HCP,0.8
1663,33.613358,19.304432,Decahedron,0.88
1664,-43.945183,31.482721,HCP,0.48
1665,2.0946498,55.10338,FCC,0.315
1666,-25.131708,123.03236,Decahedron,0.025
1667,-26.838562,-1.9688344,HCP,0.81
1668,-27.525639,23.9684,HCP,0.54
1669,14.187371,13.440755,Decahedron,0.765
1670,58.285755,14.805002,SC,0.885
1671,-21.413597,49.18536,Decahedron,0.31
1672,-8.199349,37.125267,Decahedron,0.425
1673,-31.933094,31.995884,HCP,0.48
1674,18.18701,20.724466,Decahedron,0.73
1675,-47.877026,31.391933,HCP,0.48
1676,28.142551,11.069086,Decahedron,0.89
1677,13.944764,36.792763,SC,0.585
1678,36.24016,45.119667,BCC,0.745
1679,-8.684354,81.73367,SC,0.125
1680,17.107008,30.426197,SC,0.645
1681,32.393806,7.127837,HCP,1.0
1682,20.277954,38.92812,SC,0.625
1683,-40.36019,52.583702,HCP,0.3
1684,9.283057,82.534225,BCC,0.175
1685,-47.07167,25.426533,HCP,0.54
1686,-7.00952,11.372072,HCP,0.72
1687,-58.20399,42.757893,HCP,0.4
1688,-10.302569,57.368126,Decahedron,0.275
1689,34.721714,36.4677,BCC,0.715
1690,13.831658,66.38327,BCC,0.295
1691,-35.09655,104.05359,HCP,0.05
1692,-19.816412,85.954636,Decahedron,0.115
1693,-6.9238906,20.706226,HCP,0.64
1694,8.576221,0.3594367,HCP,0.96
1695,-60.99351,42.074017,HCP,0.4
1696,41.935253,45.21026,BCC,0.785
1697,-51.032642,19.313368,HCP,0.6
1698,-33.094337,44.567806,HCP,0.36
1699,-14.458657,38.43492,Decahedron,0.4
1700,10.060359,11.177027,HCP,0.8
1701,-65.547585,97.74512,HCP,0.1
1702,-25.976673,100.901825,HCP,0.06
1703,-38.959656,7.9296284,HCP,0.72
1704,-15.213744,1.0297999,HCP,0.9
1705,55.09674,12.137447,SC,0.885
1706,56.007008,43.43785,BCC,0.905
1707,-14.883604,62.10449,Decahedron,0.245
1708,-62.410137,44.229473,HCP,0.4
1709,19.478788,7.1164646,HCP,0.9
1710,-60.956146,29.482456,HCP,0.5
1711,-63.51249,59.654842,HCP,0.3
1712,56.273216,20.107546,SC,0.895
1713,25.878658,19.337109,Decahedron,0.78
1714,-12.265053,78.19557,Decahedron,0.145
1715,-26.023703,100.80509,HCP,0.06
1716,-39.711407,102.11301,HCP,0.06
1717,-18.794922,34.5047,Decahedron,0.435
1718,18.533089,7.489151,HCP,0.9
1719,-49.668312,95.76339,HCP,0.08
1720,-11.827616,44.63898,Decahedron,0.375
1721,-42.29783,2.1563983,HCP,0.8
1722,-4.0876327,31.334024,Decahedron,0.5
1723,-15.29771,104.50433,Icosahedron,0.065
1724,-64.35831,59.414898,HCP,0.3
1725,-21.074274,55.91447,HCP,0.27
1726,32.751957,17.982542,Decahedron,0.88
1727,-4.126807,64.39253,Octahedron,0.22
1728,-24.758234,112.478836,HCP,0.03
1729,-15.920354,1.5579447,HCP,0.9
1730,-28.749084,28.207607,HCP,0.48
1731,-53.023247,55.980137,HCP,0.32
1732,-5.2332034,91.88743,SC,0.095
1733,-62.633137,42.961887,HCP,0.4
1734,-44.262466,99.475136,HCP,0.07
1735,-32.721054,15.355205,HCP,0.64
1736,-16.766146,100.325005,FCC,0.065
1737,-35.942753,70.06337,HCP,0.2
1738,28.727247,5.045955,HCP,0.96
1739,-48.40005,31.511566,HCP,0.48
1740,-10.228941,68.06452,Decahedron,0.195
1741,-21.867857,54.22628,HCP,0.27
1742,-27.220713,24.216757,HCP,0.54
1743,-5.305259,37.653008,Decahedron,0.425
1744,-33.218807,67.17288,HCP,0.2
1745,-61.520657,90.06996,HCP,0.1
1746,-22.2156,50.233948,Decahedron,0.31
1747,25.44491,19.949022,Decahedron,0.78
1748,3.5066855,6.9955854,HCP,0.84
1749,-18.82624,34.125107,Decahedron,0.435
1750,8.572021,81.84973,BCC,0.175
1751,-32.149822,76.1661,HCP,0.16
1752,1.7634258,9.070013,HCP,0.84
1753,-10.391395,67.9901,Decahedron,0.195
1754,-12.478823,78.09851,Decahedron,0.145
1755,-62.192364,66.55273,HCP,0.27
1756,-23.13807,41.57112,HCP,0.36
1757,-61.984848,76.785866,HCP,0.2
1758,7.9390574,40.207375,FCC,0.465
1759,-43.958557,99.36252,HCP,0.07
1760,-10.475388,1.6590099,HCP,0.9
1761,-43.161263,21.589756,HCP,0.56
1762,-2.116609,20.816303,Decahedron,0.635
1763,13.296469,65.876884,BCC,0.295
1764,-5.102431,-3.844596,HCP,1.0
1765,-5.529575,66.382805,Octahedron,0.22
1766,0.589558,39.780945,SC,0.435
1767,0.5234786,20.907831,Decahedron,0.635
1768,-30.634941,51.937946,HCP,0.3
1769,-50.27633,42.373077,HCP,0.4
1770,26.307383,27.287321,Octahedron,0.73
1771,-32.138535,52.614765,HCP,0.3
1772,13.100939,46.666286,BCC,0.475
1773,-20.66936,129.76303,BCC,0.045
1774,-16.381283,57.15603,Icosahedron,0.275
1775,-32.223965,1.6472323,HCP,0.8
1776,-42.19181,76.99733,HCP,0.18
1777,-2.0505118,-2.458414,HCP,1.0
1778,-12.478096,8.801722,HCP,0.8
1779,-18.525337,28.79841,HCP,0.48
1780,-8.484852,5.160019,HCP,0.8
1781,-13.484088,51.74713,Decahedron,0.27
1782,-37.62736,61.56644,HCP,0.24
1783,-39.659733,65.140686,HCP,0.24
1784,22.562597,19.496199,Decahedron,0.78
1785,-47.432083,52.991833,HCP,0.32
1786,-15.846775,112.08839,SC,0.035
1787,-10.3426075,12.733849,HCP,0.72
1788,39.44524,27.668608,FCC,0.825
1789,-52.085083,26.47754,HCP,0.54
1790,-24.730085,10.280091,HCP,0.72
1791,-26.043343,100.65868,HCP,0.06
1792,-68.30183,47.306557,HCP,0.4
1793,-14.734333,38.64076,Decahedron,0.4
1794,-53.166946,25.634285,HCP,0.54
1795,-43.85442,31.230835,HCP,0.48
1796,-37.38476,9.760267,HCP,0.72
1797,-31.191128,22.611492,HCP,0.56
1798,-21.60662,49.72611,Decahedron,0.31
1799,-8.592338,81.897415,SC,0.125
1800,-10.315639,24.889193,Decahedron,0.555
1801,2.1989365,31.33075,Decahedron,0.525
1802,0.082190394,43.333744,Octahedron,0.425
1803,25.61343,19.825623,Decahedron,0.78
1804,-38.338074,79.80556,HCP,0.15
1805,14.610104,39.615307,SC,0.585
1806,-19.701801,85.73885,Decahedron,0.115
1807,-16.321009,68.4783,Decahedron,0.2
1808,-25.230648,69.5311,HCP,0.18
1809,-53.625343,68.86518,HCP,0.24
1810,9.912628,10.470815,HCP,0.8
1811,-44.456284,46.87628,HCP,0.35
1812,-35.581467,69.84281,HCP,0.2
1813,31.442797,41.982212,BCC,0.685
1814,-22.223503,50.278214,Decahedron,0.31
1815,-25.308405,10.863034,HCP,0.72
1816,-60.995373,89.698235,HCP,0.1
1817,-30.537428,85.39187,HCP,0.12
1818,-24.559315,82.87301,HCP,0.12
1819,-63.072372,19.580563,HCP,0.6
1820,-2.55741,84.860405,SC,0.135
1821,37.480423,46.704536,BCC,0.745
1822,19.95448,37.57678,SC,0.625
1823,-49.892414,95.78622,HCP,0.08
1824,-18.18282,29.824926,HCP,0.48
1825,9.709228,14.991269,Icosahedron,0.735
1826,7.7259393,38.52866,FCC,0.465
1827,-47.538696,25.472683,HCP,0.54
1828,0.7094203,39.730766,SC,0.435
1829,6.9588876,69.46694,BCC,0.255
1830,-68.91973,61.98397,HCP,0.3
1831,-15.802842,68.09275,Decahedron,0.2
1832,-43.861614,47.01313,HCP,0.35
1833,5.054357,-0.11222616,HCP,1.0
1834,-35.061237,46.190212,HCP,0.36
1835,14.547365,38.48998,SC,0.585
1836,-55.237576,47.052296,HCP,0.36
1837,-35.217815,93.17986,HCP,0.1
1838,32.269733,43.27446,BCC,0.685
1839,0.53145313,25.65025,Decahedron,0.58
1840,56.12734,14.919607,SC,0.885
1841,-11.821622,97.02597,BCC,0.075
1842,-5.758498,66.427246,Octahedron,0.22
1843,-16.191374,81.26038,Decahedron,0.125
1844,-34.352222,8.0544405,HCP,0.72
1845,-17.049273,26.255033,HCP,0.48
1846,13.6256895,45.907433,BCC,0.475
1847,-2.4436464,83.83322,SC,0.135
1848,-23.330503,108.04137,HCP,0.04
1849,-46.74133,53.287067,HCP,0.32
1850,-58.527176,63.37052,HCP,0.27
1851,-24.64649,83.00809,HCP,0.12
1852,-2.981825,58.70321,SC,0.285
1853,-46.052265,60.919273,HCP,0.28
1854,15.496583,13.928895,Decahedron,0.765
1855,5.854437,44.667614,SC,0.465
1856,-37.59698,53.763367,HCP,0.3
1857,5.304085,13.239512,HCP,0.75
